"","run","aic","estimate","lower_ci","upper_ci","ground","group"
"1",1,467.969253772892,11813.2175017738,11622.0183974232,12006.9374291759,11911,"1"
"2",1,286.886221319986,1051.73124952251,995.638670294183,1110.30074479545,1061,"2"
"3",1,120.128687552299,61.2182000876987,47.5723959895173,77.6880960522923,62,"3"
"4",1,352.844706115171,1859.73733315739,1785.27091289128,1936.63880656745,1892,"4"
"5",1,181.676799366104,192.143428183715,168.289124232172,218.583632376252,199,"5"
"6",2,476.588997109292,11871.7327441366,11682.2334228695,12063.6550005057,11947,"1"
"7",2,276.712293514282,969.24980342615,916.276703085225,1024.60539702769,999,"2"
"8",2,123.807794070937,64.4231136316219,50.2370928343099,81.6270769863695,49,"3"
"9",2,335.372122025275,1886.88598386215,1811.23113867494,1965.01592677679,1796,"4"
"10",2,204.798793330303,208.459999986018,169.132882717402,254.130087973495,176,"5"
"11",3,479.17904208423,11936.4537954845,11746.1869500499,12129.1509841611,11878,"1"
"12",3,325.611298800664,1095.63453251641,1002.11852289316,1195.38114917039,971,"2"
"13",3,114.000702976729,61.0057230130219,47.9302422666654,76.850708917042,56,"3"
"14",3,324.175771001121,1901.88243306329,1826.60024468614,1979.60150364229,1934,"4"
"15",3,169.106780264004,204.682674923769,179.47682319449,232.615522348354,184,"5"
"16",4,490.864183984624,11886.7360812889,11697.3011969794,12078.5899086314,11985,"1"
"17",4,279.229305044682,1000.03301959322,945.354378893202,1057.17376619693,968,"2"
"18",4,120.610826109413,84.3052871173485,58.3583412999956,117.894709743031,54,"3"
"19",4,360.632782901144,1929.38340530334,1853.46198582139,2007.75181106811,1906,"4"
"20",4,197.929821476705,172.972268934928,150.594496618841,197.89443561267,167,"5"
"21",5,471.599370949326,11980.0628556674,11789.759981183,12172.7902117384,12030,"1"
"22",5,299.873589528729,1053.45107792146,997.002456473922,1112.40814246313,993,"2"
"23",5,119.719541274467,62.4713860568602,48.7293129694495,79.0882219691179,58,"3"
"24",5,330.266063236881,1835.42114704278,1761.39412263806,1911.89141398474,1828,"4"
"25",5,180.290380210134,180.347231533065,157.398275670612,205.860192360291,173,"5"
"26",6,484.393634813004,11740.4969099445,11519.9288202484,11964.3099149404,12033,"1"
"27",6,275.990326746617,997.559282868111,943.381948677944,1054.17405083347,1066,"2"
"28",6,115.744900423844,74.7790497243531,59.9749210955392,92.3192521066602,55,"3"
"29",6,332.326663802035,1735.66873451648,1618.14146335385,1859.24615221408,1815,"4"
"30",6,166.810509374922,157.200218504409,133.146358009437,184.462277155521,174,"5"
"31",7,491.115159443046,11789.1644441043,11600.8586463813,11979.8787074422,11800,"1"
"32",7,283.023653859798,1166.55576259526,1068.71207649252,1270.83350950715,989,"2"
"33",7,136.83131033888,55.4918292825378,43.482230759912,69.9399391209923,60,"3"
"34",7,333.395287737907,1909.48908547841,1833.46033382442,1987.99053153419,1882,"4"
"35",7,197.653539206522,161.533842088767,140.636279316719,184.782194004207,205,"5"
"36",8,466.618806360956,12051.2221344475,11827.6258652643,12278.0627814808,11866,"1"
"37",8,286.809650387986,1038.18413909881,982.717739850399,1096.09603128201,1011,"2"
"38",8,120.326301564954,57.7680344663455,45.2053033738377,72.892186293546,66,"3"
"39",8,326.107546184163,1900.39565636909,1824.75744783092,1978.49325264184,1815,"4"
"40",8,187.092099928774,161.753710904015,137.053474048901,189.689845037315,178,"5"
"41",9,487.08060691103,12106.4825934179,11881.8485907069,12334.3768175619,11932,"1"
"42",9,288.519332919098,1004.12278634326,940.967895156763,1070.49072610177,1015,"2"
"43",9,119.279729157479,55.0391860814117,42.977723140262,69.5687119743769,61,"3"
"44",9,344.857148768546,1918.75383894177,1841.46744451775,1998.58158906091,1882,"4"
"45",9,182.366695470368,172.669374004279,150.247050614983,197.66288364426,187,"5"
"46",10,478.183600859374,11887.4953629449,11697.5554305444,12079.8659214949,11902,"1"
"47",10,290.324505386661,1013.47050682553,958.141050778785,1071.3073879526,1004,"2"
"48",10,107.819891775636,63.1948455472161,48.9405452717323,80.5855654024744,57,"3"
"49",10,355.079470058839,1877.28472229968,1802.75242530306,1954.23172077821,1796,"4"
"50",10,170.09516641817,173.741746291151,150.678944368666,199.471679567159,172,"5"
"51",11,492.967182375907,11957.0553702937,11767.3121479074,12149.2140465126,11947,"1"
"52",11,290.402029724181,1058.6893364262,1001.90870825266,1117.99096280869,971,"2"
"53",11,120.63249702219,55.8428053824326,43.8335434441561,70.3421343678611,65,"3"
"54",11,344.43066840176,1735.68144043158,1618.70195571629,1858.66778127729,1919,"4"
"55",11,187.129970958051,171.146538064585,146.015322593212,199.46618582446,195,"5"
"56",12,482.905123898348,11781.1758595477,11592.6540867011,11972.1126588751,11849,"1"
"57",12,297.726572882541,1055.64908436166,994.592849527163,1119.60047476137,1029,"2"
"58",12,120.248020644646,59.5071292752642,46.2314610846386,75.5070497202157,77,"3"
"59",12,354.831374945432,1845.65292428665,1771.64754049154,1922.07620585697,1795,"4"
"60",12,181.928494434153,156.805666712249,131.238518881122,186.014230381509,177,"5"
"61",13,474.52035439315,11954.2975719023,11747.6471361022,12163.7786992096,11911,"1"
"62",13,305.184761569067,1058.95648437193,1002.56411927045,1117.84142287569,997,"2"
"63",13,114.375634131313,44.8146573633688,25.9519267193412,71.7479597067736,51,"3"
"64",13,337.131215255731,1865.1307083673,1789.59951523632,1943.15732898065,1854,"4"
"65",13,171.836937176642,181.764077736751,158.905240001289,207.139633219542,171,"5"
"66",14,472.198984990723,11992.8187631738,11800.1438562844,12187.9962534824,11942,"1"
"67",14,292.886127316788,1006.24664929641,951.785204364085,1063.13855386251,1031,"2"
"68",14,121.608845302256,68.94374094258,54.8997847104078,85.7121594780832,62,"3"
"69",14,326.746287761195,1850.31099837464,1776.23758882313,1926.80145953741,1862,"4"
"70",14,176.857295063122,194.031180575464,169.938430865195,220.754859834206,178,"5"
"71",15,458.769449264132,12072.995898574,11881.6512223761,12266.7743918668,11997,"1"
"72",15,306.219256861462,1002.37637597221,948.437494314586,1058.71678296077,1032,"2"
"73",15,112.390512994469,50.6574604631965,39.2130577611664,64.5387935454091,64,"3"
"74",15,321.035489162557,1910.68520892841,1835.34590033414,1988.46075155973,1861,"4"
"75",15,167.425135216697,178.654168725196,154.888354900136,205.164853775537,174,"5"
"76",16,466.434100677664,11842.8792471893,11653.8535804364,12034.321592644,12029,"1"
"77",16,281.320264546852,1033.2371434247,976.643810476176,1092.40334709403,1069,"2"
"78",16,119.60607098387,53.8838156690675,41.3602471760508,69.1913638708051,71,"3"
"79",16,340.364380615711,1926.90272147226,1850.74814510656,2005.52136152084,1861,"4"
"80",16,172.589443141859,196.650888881422,169.584980262543,226.951988992274,173,"5"
"81",17,468.734684759973,11962.319501435,11771.5127250152,12155.5647664779,11872,"1"
"82",17,284.821344197376,1047.21773085293,990.976331780179,1105.95842849006,1031,"2"
"83",17,113.318038877287,69.282682869296,54.3608689286988,87.2448224391644,66,"3"
"84",17,352.978566021419,1888.97445777971,1813.83182009632,1966.56164232485,1884,"4"
"85",17,181.7687153242,184.502126723145,161.774692228001,209.673501776368,183,"5"
"86",18,478.273275693306,11786.083618394,11598.061881817,11976.5082500383,11988,"1"
"87",18,313.162331949418,1005.07372964054,950.544310863922,1062.04500283112,975,"2"
"88",18,134.416571014709,54.1956045676095,41.0855987931953,70.3002548955011,65,"3"
"89",18,335.491376816732,1803.75836837001,1723.98230922189,1886.38436935847,1852,"4"
"90",18,180.08836398392,183.590413504871,160.537659031772,209.1641627599,187,"5"
"91",19,486.052538258606,11940.1256262045,11750.5901238809,12132.0749939697,11886,"1"
"92",19,288.341707218369,1113.77895245105,1018.69207361317,1215.22520464469,997,"2"
"93",19,115.036993500716,68.2341524032112,53.4597505659569,86.0162616569581,56,"3"
"94",19,336.165414587228,1901.06121814747,1825.84866508124,1978.70646500388,1840,"4"
"95",19,190.938412905633,216.393727771419,187.272708754695,248.960841105698,191,"5"
"96",20,453.702139613298,11861.6381684298,11669.1906109055,12056.6272523443,11969,"1"
"97",20,301.150881494236,995.309167873863,941.532961888484,1051.48372687102,1054,"2"
"98",20,120.30331175418,69.792593676397,54.6976399280728,88.0008409133583,56,"3"
"99",20,336.301446537043,1936.28227982461,1859.59809132524,2015.45443026123,1852,"4"
"100",20,197.134636371434,177.57711280906,154.882343716833,202.80507942265,167,"5"
"101",21,474.826231555536,11934.9035618449,11744.1733719004,12128.0748189655,11958,"1"
"102",21,288.809729084104,1001.43662410962,947.031722568753,1058.27281845651,1028,"2"
"103",21,128.035409716042,67.4789293791009,53.1964831912946,84.6504778676556,58,"3"
"104",21,349.629897623632,1905.86318903448,1830.13788149401,1984.04736333248,1782,"4"
"105",21,176.705730591416,185.959919840006,162.982176918982,211.421438666119,177,"5"
"106",22,470.481365572648,11945.3027636819,11745.4832545915,12147.7888941539,12070,"1"
"107",22,299.150004908797,1010.18980076039,955.411188091534,1067.4207413454,1029,"2"
"108",22,121.283817450299,65.1586349981567,51.6319353964676,81.3338191815299,71,"3"
"109",22,325.883230107725,1833.37218888632,1758.92696142687,1910.32629331013,1865,"4"
"110",22,186.596551450664,163.97540634713,139.030020087558,192.237954333107,186,"5"
"111",23,496.519066174107,11919.3926604129,11728.8559114741,12112.377415023,11750,"1"
"112",23,297.726484837765,976.505377969784,923.355696729084,1032.04754310452,1112,"2"
"113",23,135.049730415217,51.4155374653304,39.8005489084038,65.5044231801829,81,"3"
"114",23,352.400096446779,1872.46532190813,1797.42245992785,1949.96184555357,1815,"4"
"115",23,173.922624249863,189.627571823905,164.283197897834,217.92559387287,181,"5"
"116",24,485.518648819146,11744.4990012351,11556.3464996475,11935.0660532319,11977,"1"
"117",24,288.325716027382,991.985013502348,937.992475566035,1048.39457701124,982,"2"
"118",24,117.799033893693,52.1563250968515,38.1280079126343,69.7510932627323,69,"3"
"119",24,325.759689685285,1888.41444884041,1812.97188502549,1966.31594324388,1854,"4"
"120",24,189.42762003507,206.545317249056,163.450206827997,257.864496651432,189,"5"
"121",25,505.198704253261,11866.5711265473,11677.2777005117,12058.2835550799,12039,"1"
"122",25,285.549778787364,991.289455987513,935.096355844812,1050.09762600097,1001,"2"
"123",25,118.299348370627,73.4280422447838,57.6946528881923,92.3982701291271,59,"3"
"124",25,329.096149049179,1901.02637055012,1825.14001781616,1979.40427067661,1828,"4"
"125",25,194.57263280935,187.742196945292,164.597984344016,213.392505052461,173,"5"
"126",26,483.344256491825,11958.9558985594,11768.4379209815,12151.9087949148,11706,"1"
"127",26,300.517680447264,1039.6011926351,983.887377024982,1097.79085890345,1017,"2"
"128",26,119.766961147562,63.613956943687,50.0978413817445,79.8266366579098,54,"3"
"129",26,341.361270675357,1854.25089621757,1779.86939285633,1931.06571747292,1937,"4"
"130",26,172.534429882569,194.559862670113,170.81026812433,220.851503566687,183,"5"
"131",27,478.287259686792,11872.285242464,11682.7309812935,12064.2635275825,11868,"1"
"132",27,296.137032367176,1076.47585793569,1019.16145723804,1136.32610727223,1005,"2"
"133",27,114.158910628335,60.410026683697,47.0555040582724,76.4882559754312,60,"3"
"134",27,337.83188289219,1852.13760120945,1778.12161913961,1928.57089248073,1899,"4"
"135",27,194.063395306032,175.439634588666,153.16133155406,200.214491251547,171,"5"
"136",28,492.901806114864,11821.7435192867,11632.275861443,12013.6545980547,11972,"1"
"137",28,311.0884655389,966.354325537176,913.47161781028,1021.62170850256,947,"2"
"138",28,113.707615859273,87.2426005904907,58.9379624060814,124.494536350557,72,"3"
"139",28,345.556750182419,1884.87647599729,1809.39767912001,1962.82961437801,1786,"4"
"140",28,172.04831702904,182.272337681341,159.318696694789,207.743301455336,188,"5"
"141",29,469.974470219894,11893.7911613898,11704.154275708,12085.8504309531,11778,"1"
"142",29,292.48212443222,1056.42803102175,999.854404540352,1115.50631380563,983,"2"
"143",29,128.700457678078,58.9776234029245,45.8697312448543,74.7749349792718,70,"3"
"144",29,349.149228117319,1825.57039970178,1752.36846405892,1901.16675142628,1798,"4"
"145",29,178.31707645579,185.328134867048,162.469618858587,210.652758705036,206,"5"
"146",30,492.162760227809,11819.1285426117,11630.473738347,12010.1953287674,11904,"1"
"147",30,293.44342921164,1071.96650798571,1014.81338392998,1131.64265030661,983,"2"
"148",30,120.094940633343,51.2110023376073,38.627712562211,66.6903083141104,69,"3"
"149",30,345.54971272204,1875.85278720573,1801.12922897954,1953.00789899488,1902,"4"
"150",30,174.919373402987,187.445712876948,163.931694351638,213.523001701934,162,"5"
"151",31,473.597224165098,11933.3261689432,11741.2638491136,12127.8855903727,12033,"1"
"152",31,289.883062388845,972.814010911984,917.471562402192,1030.74067071283,1024,"2"
"153",31,113.992155081025,67.9527396168137,53.7588986828272,84.913386002643,55,"3"
"154",31,354.655890831352,1907.80890740334,1831.2540691261,1986.87581450818,1891,"4"
"155",31,178.612090468855,177.360949240786,153.703536006335,203.766806361338,175,"5"
"156",32,500.125224844356,12076.8326196733,11885.3055724832,12270.7968839054,11696,"1"
"157",32,292.990213071553,987.13988461737,933.450837796447,1043.23557547923,963,"2"
"158",32,119.721214957933,41.093721356997,29.3260858320346,56.0624115167017,52,"3"
"159",32,339.652897513804,1724.06793918978,1606.97325488792,1847.21740188232,1855,"4"
"160",32,189.503606739184,208.92399302841,184.23423501928,236.186042490221,162,"5"
"161",33,475.447025459877,11848.3638806769,11658.8324278573,12040.3221541749,11927,"1"
"162",33,296.827058493287,1013.51749100427,958.738948962239,1070.74424403003,963,"2"
"163",33,114.09592083389,60.5101028548215,47.4525953796883,76.1709046164537,46,"3"
"164",33,341.747733887675,1919.26446846956,1842.13417897137,1998.92378258354,1843,"4"
"165",33,175.344258498411,176.26881285231,152.394923156362,202.953916940493,177,"5"
"166",34,481.936063944671,11987.2526379124,11796.4106509443,12180.5319807987,11976,"1"
"167",34,279.474749733593,1008.04300368313,953.167110292967,1065.38467996923,1007,"2"
"168",34,104.251359457155,61.4946684547481,48.1017375887918,77.6564005378503,60,"3"
"169",34,328.595932477674,1826.1484650953,1749.73106015374,1905.15579961153,1868,"4"
"170",34,168.518900768943,178.491207447747,155.492868171499,204.070100625784,196,"5"
"171",35,456.59233320419,12398.5181513182,12076.5897692005,12726.6699663601,11921,"1"
"172",35,310.441243154288,1026.47138109001,971.360802672381,1084.03024936924,1022,"2"
"173",35,127.721661002582,86.0017023013749,68.7182292306506,106.597286980689,69,"3"
"174",35,381.199502930302,1841.46702976167,1766.39509087789,1919.03187048681,1955,"4"
"175",35,173.122340943183,175.060403016804,152.924955868451,199.624637742707,180,"5"
"176",36,482.838557928591,12069.6865005079,11844.8858689997,12297.7799830934,11888,"1"
"177",36,297.696107328661,997.032487754293,942.929763012305,1053.55723309449,981,"2"
"178",36,121.376009911473,46.7457970286587,35.5770392071756,60.3979099145367,63,"3"
"179",36,331.791078500174,1891.38646217302,1816.15036131636,1969.07262679016,1835,"4"
"180",36,177.816439373797,186.091899519856,162.69489194903,212.069059114715,190,"5"
"181",37,463.18180468449,12041.081072956,11850.0708895551,12234.5221163949,11885,"1"
"182",37,298.672632204164,993.379070500749,938.968532287569,1050.2729510947,955,"2"
"183",37,115.486387631218,67.6695442737304,53.0597001219989,85.2534872649057,66,"3"
"184",37,334.785437473821,1926.08092096692,1849.2059986712,2005.49401254999,1830,"4"
"185",37,186.944876668845,174.582195598057,152.0535648264,199.643383676225,156,"5"
"186",38,480.103293063459,11835.9356694054,11646.5690980962,12027.7318821599,11863,"1"
"187",38,312.729658164584,994.450024860625,940.395275895026,1050.92788250324,1035,"2"
"188",38,114.590423653969,58.0078271950031,45.4053947583139,73.1945065170831,61,"3"
"189",38,348.903913615934,1869.44346111196,1794.85560567103,1946.46073831638,1889,"4"
"190",38,182.052317051484,173.199652153538,149.642028445974,199.560326601135,201,"5"
"191",39,475.868857472569,11900.74943829,11707.0779244064,12096.9991359951,11934,"1"
"192",39,310.495289489293,1016.22445164505,961.584752479723,1073.29574129778,1024,"2"
"193",39,129.094226571762,67.1854683278084,52.8555056178295,84.4041281958247,64,"3"
"194",39,344.833993799515,1967.48066661731,1890.32168260601,2047.1183348732,1840,"4"
"195",39,175.819489577079,174.382746450638,151.206452324927,200.280323622724,169,"5"
"196",40,471.755341869926,11625.9815087856,11422.8921791259,11831.8681675567,11816,"1"
"197",40,298.407468507563,1026.18359359468,970.984640907814,1083.84497292842,1005,"2"
"198",40,135.825144773388,60.9265088145507,47.9511601943417,76.4812990415276,58,"3"
"199",40,343.800489174352,1844.38529812819,1770.24913479894,1920.9509594652,1900,"4"
"200",40,167.354468007524,193.318666522092,169.003555289959,220.317727647557,193,"5"
"201",41,466.301864003909,11848.3517667384,11656.7066530422,12042.4756051077,11941,"1"
"202",41,287.193287299079,1013.33632264974,958.308732331582,1070.8431222983,928,"2"
"203",41,123.350915935845,56.0544367899809,43.3965138351838,71.4073655050537,77,"3"
"204",41,335.219602589715,1860.75423555353,1786.02659083517,1937.93405414784,1886,"4"
"205",41,173.980849613202,256.450336691136,196.012611277135,331.377866763496,174,"5"
"206",42,498.398572184659,11950.8029229076,11760.3989024466,12143.6383245551,11807,"1"
"207",42,284.326891544435,1030.66234952024,974.11601748177,1089.82477385846,1013,"2"
"208",42,124.059161532114,48.5361073172131,37.1668776057629,62.4059046632759,58,"3"
"209",42,336.749575775523,1833.98151101909,1760.26473012151,1910.11285899767,1862,"4"
"210",42,189.306288226935,186.167634807719,163.48705900189,211.270782329949,161,"5"
"211",43,480.476758073858,11780.4724032422,11591.8464908475,11971.5150404479,11658,"1"
"212",43,289.566962014968,982.783837833882,929.07221220062,1038.91390771909,1023,"2"
"213",43,112.886133694563,62.5512613230741,48.5661848424164,79.4846494527339,72,"3"
"214",43,330.432639217099,1880.39674816029,1804.7588114328,1958.51694562214,1841,"4"
"215",43,182.914197924108,176.333979160521,153.452876996914,201.802658836056,184,"5"
"216",44,477.292407826704,11863.410850669,11673.7440283929,12055.5049821666,11805,"1"
"217",44,284.51903709473,981.821702433038,928.405275169472,1037.63817210439,1056,"2"
"218",44,119.524152838229,58.2049913952619,45.318539551126,73.8064338918254,62,"3"
"219",44,335.249223607261,1888.80396094745,1813.97044250527,1966.06347518316,1916,"4"
"220",44,190.90575599504,172.994960378392,151.244362916702,197.1248128321,184,"5"
"221",45,469.257180306818,11900.3038896866,11710.6827425659,12092.3480754976,11986,"1"
"222",45,290.062757719472,1040.54742137958,984.67750164087,1098.89216699995,983,"2"
"223",45,121.933168014603,60.6839003584009,47.1120648833548,77.1221080104709,63,"3"
"224",45,348.187180390442,1808.17312971582,1735.28440597519,1883.45736312506,1943,"4"
"225",45,174.555429823141,171.084606025982,149.504085298068,195.040825992313,190,"5"
"226",46,476.356174929366,11980.6702595557,11789.7990583012,12173.9791810401,11974,"1"
"227",46,284.778665474815,1232.67298791604,1119.01971408674,1355.10060109085,999,"2"
"228",46,122.825923943445,68.8066921535022,54.4693161470827,85.9567569266333,62,"3"
"229",46,333.3385776457,1822.07105445019,1748.59723532729,1897.957578433,1856,"4"
"230",46,176.250426446809,182.489892137447,159.229838960269,208.352397568455,179,"5"
"231",47,515.319994816519,11891.3698059066,11701.1588997357,12084.019737152,11925,"1"
"232",47,293.747085494538,995.71328422985,941.807723860056,1052.02520538279,1041,"2"
"233",47,116.671387988926,60.2545825256575,47.0653179955944,76.1854407447195,63,"3"
"234",47,335.323482149478,1863.82071488105,1789.23760832883,1940.83641673468,1892,"4"
"235",47,186.936156553326,206.276192749245,181.622509434557,233.505711607205,183,"5"
"236",48,475.124066348788,11725.7661047013,11538.386369527,11915.5435177194,11916,"1"
"237",48,291.614022007318,986.609029399889,932.818778345895,1042.81486098642,978,"2"
"238",48,115.982718632335,57.6189492812576,44.7860194662527,73.1291327212797,57,"3"
"239",48,339.270329904167,1843.38925877462,1769.64349842312,1919.54228029461,1891,"4"
"240",48,174.852224622138,169.742186216716,148.008452395399,193.878155943611,210,"5"
"241",49,497.695963431168,12049.3213471174,11732.9096256769,12371.9278664752,11809,"1"
"242",49,291.554546427015,1009.63591910028,955.260014342148,1066.42932190986,1019,"2"
"243",49,133.577723001272,67.4570607396938,52.9449627505311,84.9430437421587,64,"3"
"244",49,346.630251265531,1856.35878363367,1775.53417681086,1940.02189873606,1903,"4"
"245",49,189.642039105907,182.530828159862,158.911825481047,208.855288418042,190,"5"
"246",50,466.791406055043,11840.1407069061,11651.1887448532,12031.5089257463,11937,"1"
"247",50,291.547081335738,1015.29636295033,957.854443371508,1075.40139091809,1034,"2"
"248",50,120.958232216449,81.0506413361918,61.8241773045088,104.731797717618,63,"3"
"249",50,353.710026491443,1852.30591397461,1778.09702572277,1928.94510445147,1895,"4"
"250",50,171.605455094773,195.517259521962,170.065236612591,223.877677369356,193,"5"
